CPU	 7	 0
CPU	 5	 0
CPU	 1	 0
CPU	 3	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 21	 0
CPU	 15	 0
CPU	 17	 0
CPU	 25	 0
CPU	 23	 0
CPU	 19	 0.016675
CPU	 29	 0
CPU	 27	 0
CPU	 33	 0.016675
CPU	 39	 0
CPU	 35	 0
CPU	 31	 0
CPU	 37	 0
CPU	 43	 0
CPU	 41	 0.016675
CPU	 49	 0
CPU	 47	 0
CPU	 45	 0
CPU	 51	 0.016675
CPU	 55	 0
CPU	 53	 0
CPU	 59	 0.016675
CPU	 57	 0
CPU	 61	 0
CPU	 63	 0
CPU	 65	 0
CPU	 69	 0
CPU	 67	 0
CPU	 75	 0
CPU	 77	 0
CPU	 71	 0
CPU	 79	 0
CPU	 73	 0
CPU	 83	 0.016675
CPU	 87	 0
CPU	 89	 0
CPU	 81	 0
CPU	 93	 0
CPU	 85	 0.01665
CPU	 91	 0
CPU	 97	 0
CPU	 101	 0.01665
CPU	 95	 0.016675
CPU	 103	 0
CPU	 105	 0
CPU	 107	 0.016675
CPU	 99	 0.066675
CPU	 109	 0.016675
CPU	 115	 0
CPU	 111	 0.016675
CPU	 113	 0.01665
CPU	 117	 0.01665
CPU	 119	 0
CPU	 121	 0.016675
CPU	 123	 0.016675
CPU	 129	 0.01665
CPU	 127	 0.016675
CPU	 125	 0.01665
CPU	 131	 0.016675
CPU	 137	 0
CPU	 133	 0
CPU	 139	 0.016675
CPU	 135	 0.016675
CPU	 141	 0
CPU	 143	 0.016675
CPU	 145	 0
CPU	 147	 0
CPU	 149	 0.01665
CPU	 151	 0.016675
CPU	 153	 0.016675
CPU	 155	 0
CPU	 157	 0.016675
CPU	 159	 0
CPU	 161	 0
CPU	 163	 0.01665
CPU	 169	 0
CPU	 167	 0
CPU	 165	 0
CPU	 175	 0
CPU	 177	 0
CPU	 173	 0.016675
CPU	 171	 0.016675
CPU	 179	 0.033325
CPU	 185	 0
CPU	 183	 0
CPU	 187	 0.016675
CPU	 181	 0.033325
CPU	 193	 0.01665
CPU	 191	 0.033325
CPU	 189	 0.03335
CPU	 197	 0
CPU	 195	 0.066675
CPU	 199	 0
IO	 18	 187
IO	 42	 188.033
IO	 2	 188.367
IO	 12	 188.55
IO	 40	 189.267
IO	 26	 189.533
IO	 20	 189.967
IO	 34	 190.217
IO	 10	 190.283
IO	 4	 190.233
IO	 28	 190.283
IO	 136	 188.783
IO	 0	 190.767
IO	 14	 190.667
IO	 22	 190.783
IO	 62	 190.367
IO	 44	 190.717
IO	 88	 190.267
IO	 6	 190.867
IO	 32	 190.75
IO	 104	 190.067
IO	 82	 190.65
IO	 78	 190.8
IO	 84	 190.733
IO	 106	 190.417
IO	 24	 191.317
IO	 64	 191.067
IO	 60	 191.05
IO	 80	 190.983
IO	 8	 191.783
IO	 46	 191.683
IO	 36	 191.8
IO	 58	 191.633
IO	 54	 191.817
IO	 66	 191.717
IO	 30	 192.05
IO	 68	 191.6
IO	 16	 192.267
IO	 38	 192.3
IO	 52	 192.183
IO	 126	 190.733
IO	 108	 191.417
IO	 50	 192.267
IO	 110	 191.433
IO	 90	 191.833
IO	 56	 192.25
IO	 132	 190.917
IO	 142	 190.583
IO	 72	 192.217
IO	 130	 190.917
IO	 86	 192.133
IO	 76	 192.25
IO	 116	 191.617
IO	 98	 192.05
IO	 94	 192.2
IO	 74	 192.517
IO	 48	 192.883
IO	 102	 192.217
IO	 150	 190.9
IO	 128	 191.467
IO	 134	 191.333
IO	 92	 192.517
IO	 154	 190.967
IO	 180	 190.1
IO	 96	 192.633
IO	 70	 192.95
IO	 114	 192.083
IO	 166	 190.767
IO	 194	 189.9
IO	 100	 192.667
IO	 118	 192.283
IO	 146	 191.483
IO	 162	 191.15
IO	 144	 191.683
IO	 140	 191.733
IO	 112	 192.5
IO	 178	 190.517
IO	 120	 192.333
IO	 172	 190.867
IO	 148	 191.65
IO	 186	 190.4
IO	 156	 191.517
IO	 152	 191.7
IO	 184	 190.6
IO	 182	 190.617
IO	 124	 192.333
IO	 192	 190.383
IO	 138	 191.967
IO	 164	 191.25
IO	 158	 191.533
IO	 170	 191.15
IO	 188	 190.5
IO	 176	 190.967
IO	 196	 190.317
IO	 160	 191.483
IO	 122	 192.533
IO	 168	 191.317
IO	 190	 190.55
IO	 174	 191.05
IO	 198	 190.35
